"Id","ConfigureDuringSale","Description","DisplayUrl","Family","IsActive","IsAssetizable","IsSoldOnlyWithOtherProds","Name","ProductCode","QuantityUnitOfMeasure","StockKeepingUnit","Type","BasedOnId","UnitOfMeasureId","Errors"
"01tdq00000AS4kTAAT","#N/A","#N/A","#N/A","Hardware","true","true","false","0155-2341-10","0155-2341-10-FRD","#N/A","0155-2341-10-FRD","#N/A","#N/A","#N/A","#N/A"
"01tdq00000AS4kUAAT","#N/A","#N/A","#N/A","Hardware","true","true","false","0155-2342-10","0155-2342-10-FRD","#N/A","0155-2342-10-FRD","#N/A","#N/A","#N/A","#N/A"
"01tdq00000AS4kVAAT","#N/A","#N/A","#N/A","Hardware","true","true","false","0155-2696-07","0155-2696-07-FRD","#N/A","0155-2696-07-FRD","#N/A","#N/A","#N/A","#N/A"
"01tdq00000AS4kWAAT","#N/A","#N/A","#N/A","Hardware","true","true","false","0300-5929-01","0300-5929-01-FRD","#N/A","0300-5929-01-FRD","#N/A","#N/A","#N/A","#N/A"
"01tdq00000AS4kXAAT","#N/A","#N/A","#N/A","Hardware","true","true","false","0300-5929-02","0300-5929-02-FRD","#N/A","0300-5929-02-FRD","#N/A","#N/A","#N/A","#N/A"
"01tdq00000AS4kYAAT","#N/A","#N/A","#N/A","Hardware","true","true","false","0402-0750-01","0402-0750-01-FRD","#N/A","0402-0750-01-FRD","#N/A","#N/A","#N/A","#N/A"
"01tdq00000AS4kZAAT","#N/A","#N/A","#N/A","Hardware","true","true","false","0416-0439","0416-0439-FRD","#N/A","0416-0439-FRD","#N/A","#N/A","#N/A","#N/A"
"01tdq00000AS4kaAAD","#N/A","#N/A","#N/A","Hardware","true","true","false","0416-0527","0416-0527-FRD","#N/A","0416-0527-FRD","#N/A","#N/A","#N/A","#N/A"
"01tdq00000AS4kbAAD","#N/A","#N/A","#N/A","Hardware","true","true","false","0541-1204","0541-1204-FRD","#N/A","0541-1204-FRD","#N/A","#N/A","#N/A","#N/A"
"01tdq00000AS4kcAAD","Allowed","10% discount on labor that is only included with a Service Contract bundle","/resource/1743025596000/Labor?","#N/A","true","true","true","10% Discount on Labor","10-DL","#N/A","10-DL","#N/A","#N/A","#N/A","#N/A"
"01tdq00000AS4kdAAD","Allowed","20% discount on parts that is only included with a Service Contract bundle","/resource/1743025650000/PartsDiscount?","#N/A","true","true","true","20% Discount on Parts","20-DP","#N/A","20-DP","#N/A","#N/A","#N/A","#N/A"
"01tdq00000AS4keAAD","Allowed","Reduces sound levels in the cab for increased operator comfort and productivity.","/resource/1743027001000/SoundReductionOption?","#N/A","true","true","true","Sound Reduction Option","414LP-KAA-CAB2","#N/A","414LP-KAA-CAB2","#N/A","#N/A","#N/A","#N/A"
"01tdq00000AS4kfAAD","Allowed","Riding on suspension helps you smooth out the bumps and increase comfort. The seat offers time-saving features by customizing your weight adjustment and suspension travel much faster.","/resource/1743027326000/SuspensionSeat?","#N/A","true","true","true","Suspension Seat","414LP-KAA-CAB3","#N/A","414LP-KAA-CAB3","#N/A","#N/A","#N/A","#N/A"
"01tdq00000AS4kgAAD","Allowed","The 414LP KAA Skid Steer Loader, with its radial lift design, delivers impressive mid-lift reach and excellent digging performance with outstanding drawbar power.","/resource/1743025485000/SkidSteer414LP?","#N/A","true","true","false","414LP KAA Skid Steer Loader","414LP-KAA-E-SSL","#N/A","414LP-KAA-E-SSL","Bundle","11Bdq000006qFNoEAM","#N/A","#N/A"
"01tdq00000AS4khAAD","Allowed","These pneumatic tires feature the traditional bar-lug design for excellent traction and long wear. They're good general-use tires intended for normal machine-hour applications, such as agriculture, rental, landscaping, general construction and other standard-duty jobs.","/resource/1743027060000/StandardDutyTires?","#N/A","true","true","false","Standard Duty Tires","414LP-KAA-TT1","#N/A","414LP-KAA-TT1","#N/A","#N/A","#N/A","#N/A"
"01tdq00000AS4kiAAD","Allowed","This design offers a thicker sidewall, a bead guard and a higher ply rating than other pneumatic tires. The result: better wear and resistance to flats. These tires are ideal for rough, high-hour applications: rental, construction, landscaping and industry.","/resource/1743026659000/HeavyDutyTires?","#N/A","true","true","false","Heavy Duty Tires","414LP-KAA-TT2","#N/A","414LP-KAA-TT2","#N/A","#N/A","#N/A","#N/A"
"01tdq00000AS4kjAAD","#N/A","#N/A","#N/A","Hardware","true","true","false","A030S169","A030S169-FRD","#N/A","A030S169-FRD","#N/A","#N/A","#N/A","#N/A"
"01tdq00000AS4kkAAD","#N/A","#N/A","#N/A","Hardware","true","true","false","A035K427","A035K427-FRD","#N/A","A035K427-FRD","#N/A","#N/A","#N/A","#N/A"
"01tdq00000AS4klAAD","#N/A","#N/A","#N/A","Hardware","true","true","false","A046D218","A046D218-FRD","#N/A","A046D218-FRD","#N/A","#N/A","#N/A","#N/A"
"01tdq00000AS4kmAAD","#N/A","#N/A","#N/A","Hardware","true","true","false","A048N280","A048N280-FRD","#N/A","A048N280-FRD","#N/A","#N/A","#N/A","#N/A"
"01tdq00000AS4knAAD","#N/A","#N/A","#N/A","Hardware","true","true","false","A051H785","A051H785-FRD","#N/A","A051H785-FRD","#N/A","#N/A","#N/A","#N/A"
"01tdq00000AS4koAAD","#N/A","#N/A","#N/A","Hardware","true","true","false","A051K118","A051K118-FRD","#N/A","A051K118-FRD","#N/A","#N/A","#N/A","#N/A"
"01tdq00000AS4kpAAD","#N/A","#N/A","#N/A","Hardware","true","true","false","A052X578","A052X578-FRD","#N/A","A052X578-FRD","#N/A","#N/A","#N/A","#N/A"
"01tdq00000AS4kqAAD","#N/A","#N/A","#N/A","Hardware","true","true","false","A052X580","A052X580-FRD","#N/A","A052X580-FRD","#N/A","#N/A","#N/A","#N/A"
"01tdq00000AS4krAAD","#N/A","#N/A","#N/A","Hardware","true","true","false","A052X582","A052X582-FRD","#N/A","A052X582-FRD","#N/A","#N/A","#N/A","#N/A"
"01tdq00000AS4ksAAD","#N/A","#N/A","#N/A","Hardware","true","true","false","A052X584","A052X584-FRD","#N/A","A052X584-FRD","#N/A","#N/A","#N/A","#N/A"
"01tdq00000AS4ktAAD","#N/A","#N/A","#N/A","Hardware","true","true","false","A052X586","A052X586-FRD","#N/A","A052X586-FRD","#N/A","#N/A","#N/A","#N/A"
"01tdq00000AS4kuAAD","Allowed","A fast-evaporating solvent with strong dissolving capabilities.","/resource/1743025731000/Acet50Drum?","Chemical","true","false","false","Acetone (ACET-50) - 200L Drum","ACET-50-200L","#N/A","ACET-50-200L","#N/A","#N/A","0hEdq000000116zEAA","#N/A"
"01tdq00000AS4kvAAD","Allowed","A fast-evaporating solvent with strong dissolving capabilities.","/resource/1743025778000/Acet50Pail?","Chemical","true","false","false","Acetone (ACET-50) - 20L Pail","ACET-50-20L","#N/A","ACET-50-20L","#N/A","#N/A","0hEdq0000001171EAA","#N/A"
"01tdq00000AS4kwAAD","Allowed","The AMEL Series genset brings power, technology and reliability to the power range from 400 to 600 kWe (460 to 730 kVA).","/resource/1736281665000/generators/600kw.png","Generator Set","true","true","false","AMEL Generator Set","AMEL-FRD","#N/A","AMEL-FRD","Bundle","#N/A","#N/A","#N/A"
"01tdq00000AS4kxAAD","Allowed","A chemical compound that prevents oxidative degradation of materials.","/resource/1743025999000/AO1000Bag?","Chemical","true","false","false","Antioxidant (AO-1000) - 25KG Bag","AO-1000-25KG","#N/A","AO-1000-25KG","#N/A","#N/A","0hEdq0000001172EAA","#N/A"
"01tdq00000AS4kyAAD","Allowed","A chemical compound that prevents oxidative degradation of materials.","/resource/1743025999000/AO1000Bag?","Chemical","true","false","false","Antioxidant (AO-1000) - 50KG Bag","AO-1000-50KG","#N/A","AO-1000-50KG","#N/A","#N/A","0hEdq0000001173EAA","#N/A"
"01tdq00000AS4kzAAD","Allowed","A thermoplastic resin providing excellent weather resistance and clarity.","/resource/1743025828000/AR300Tote?","Chemical","true","false","false","Acrylic Resin (AR-300) - 1000KG Tote","AR-300-1000KG","#N/A","AR-300-1000KG","#N/A","#N/A","0hEdq000000116wEAA","#N/A"
"01tdq00000AS4l0AAD","Allowed","A thermoplastic resin providing excellent weather resistance and clarity.","/resource/1743025892000/AR300Drum?","Chemical","true","false","false","Acrylic Resin (AR-300) - 200KG Drum","AR-300-200KG-DR","#N/A","AR-300-200KG-DR","#N/A","#N/A","0hEdq000000116yEAA","#N/A"
"01tdq00000AS4l1AAD","Allowed","A highly versatile single-row radial ball bearing perfect for high-speed applications. This 6205 series bearing features a 25mm bore and comes with two rubber seals (2RS) to protect against contaminants and retain lubricant. C3 internal clearance allows for thermal expansion.","/resource/groovebearing","Industrial","true","false","false","Deep Groove Ball Bearing, 6205-2RS, 25mm Bore","BG-BRG-7001","Each","BG-BRG-7001","#N/A","#N/A","0hEdq0000001176EAA","#N/A"
"01tdq00000AS4l2AAD","Allowed","A self-aligning mounted bearing unit enclosed in a solid cast iron housing. The bearing insert is relubricatable via a grease fitting and secures to the shaft with two set screws. It's ideal for supporting shafts on conveyors and machinery frames.","/resource/pillowblockbearing","Industrial","true","false","false","Pillow Block Bearing, UCP207-20, Cast Iron, 1-1/4"" Bore","BG-BRG-7002","Each","BG-BRG-7002","#N/A","#N/A","0hEdq0000001176EAA","#N/A"
"01tdq00000AS4l3AAD","Allowed","An  sintered bronze bushing (plain bearing) for low-speed, high-load applications. Meeting the SAE 841 standard, it provides a continuous, low-friction surface without the need for external lubrication.","/resource/sleevebushing","Industrial","true","false","false","SAE 841 Sintered Bronze Sleeve Bushing, 1"" ID","BG-BRG-7003","Each","BG-BRG-7003","#N/A","#N/A","0hEdq0000001176EAA","#N/A"
"01tdq00000AS4l4AAD","Allowed","A heavy-duty double strand (#60-2) roller chain designed for high-torque drive systems. Constructed from shot-peened carbon steel with solid rollers for maximum durability. Supplied in a standard 10-foot box with one connecting link included.","/resource/rollerchain","Industrial","true","false","false","Double Strand Roller Chain, ANSI #60-2, 10 ft.","BG-CHS-8001","Each","BG-CHS-8001","#N/A","#N/A","0hEdq0000001176EAA","#N/A"
"01tdq00000AS4l5AAD","Allowed","A Type B sprocket for #60 roller chain, featuring a hub on one side for stability. Made from high-carbon steel with hardened teeth for long wear life. This sprocket comes with a 1"" finished bore, a standard keyway, and two set screws for immediate installation.","/resource/sprocket","Industrial","true","false","false","Type B Sprocket, #60 Chain, 24 Tooth, 1"" Bore","BG-CHS-8002","Each","BG-CHS-8002","#N/A","#N/A","0hEdq0000001176EAA","#N/A"
