"AdjustmentType","CurrencyIsoCode","EffectiveFrom","EffectiveTo","LowerBound","PricingTerm","PricingTermUnit","ScheduleType","SellingModelType","TierType","TierValue","UpperBound","PriceAdjustmentSchedule.Name","Product2.StockKeepingUnit","ProductSellingModel.Name","ProductSellingModel.SellingModelType","PriceAdjustmentSchedule.CurrencyIsoCode"
"Percentage","USD","2025-05-01T19:00:00.000+0000","#N/A","10","#N/A","#N/A","Volume","OneTime","AdjustmentPercentage","10","#N/A","Standard Volume Based Adjustment","ACET-50-200L","One-Time","OneTime","USD"
"Percentage","USD","2025-05-01T19:00:00.000+0000","#N/A","10","#N/A","#N/A","Volume","OneTime","AdjustmentPercentage","10","#N/A","Standard Volume Based Adjustment","ACET-50-20L","One-Time","OneTime","USD"
"Percentage","USD","2025-05-01T19:00:00.000+0000","#N/A","10","#N/A","#N/A","Volume","OneTime","AdjustmentPercentage","10","#N/A","Standard Volume Based Adjustment","AO-1000-25KG","One-Time","OneTime","USD"
"Percentage","USD","2025-05-01T19:00:00.000+0000","#N/A","10","#N/A","#N/A","Volume","OneTime","AdjustmentPercentage","10","#N/A","Standard Volume Based Adjustment","AO-1000-50KG","One-Time","OneTime","USD"
"Percentage","USD","2025-05-01T19:00:00.000+0000","#N/A","10","#N/A","#N/A","Volume","OneTime","AdjustmentPercentage","10","#N/A","Standard Volume Based Adjustment","AR-300-1000KG","One-Time","OneTime","USD"
"Percentage","USD","2025-05-01T19:00:00.000+0000","#N/A","10","#N/A","#N/A","Volume","OneTime","AdjustmentPercentage","10","#N/A","Standard Volume Based Adjustment","AR-300-200KG-DR","One-Time","OneTime","USD"
"Percentage","USD","2025-05-01T19:00:00.000+0000","#N/A","10","#N/A","#N/A","Volume","OneTime","AdjustmentPercentage","10","#N/A","Standard Volume Based Adjustment","CI-3000-200L","One-Time","OneTime","USD"
"Percentage","USD","2025-05-01T19:00:00.000+0000","#N/A","10","#N/A","#N/A","Volume","OneTime","AdjustmentPercentage","10","#N/A","Standard Volume Based Adjustment","CI-3000-20L","One-Time","OneTime","USD"
"Percentage","USD","2025-05-01T19:00:00.000+0000","#N/A","10","#N/A","#N/A","Volume","OneTime","AdjustmentPercentage","10","#N/A","Standard Volume Based Adjustment","DF-4000-200L","One-Time","OneTime","USD"
"Percentage","USD","2025-05-01T19:00:00.000+0000","#N/A","10","#N/A","#N/A","Volume","OneTime","AdjustmentPercentage","10","#N/A","Standard Volume Based Adjustment","DF-4000-20L","One-Time","OneTime","USD"
"Percentage","USD","2025-05-01T19:00:00.000+0000","#N/A","10","#N/A","#N/A","Volume","OneTime","AdjustmentPercentage","10","#N/A","Standard Volume Based Adjustment","EPX-500-200KG","One-Time","OneTime","USD"
"Percentage","USD","2025-05-01T19:00:00.000+0000","#N/A","10","#N/A","#N/A","Volume","OneTime","AdjustmentPercentage","10","#N/A","Standard Volume Based Adjustment","EPX-500-20KG","One-Time","OneTime","USD"
"Percentage","USD","2025-05-01T19:00:00.000+0000","#N/A","10","#N/A","#N/A","Volume","OneTime","AdjustmentPercentage","10","#N/A","Standard Volume Based Adjustment","H2SO4-1000L-IBC","One-Time","OneTime","USD"
"Percentage","USD","2025-05-01T19:00:00.000+0000","#N/A","10","#N/A","#N/A","Volume","OneTime","AdjustmentPercentage","10","#N/A","Standard Volume Based Adjustment","H2SO4-200L-DR","One-Time","OneTime","USD"
"Percentage","USD","2025-05-01T19:00:00.000+0000","#N/A","10","#N/A","#N/A","Volume","OneTime","AdjustmentPercentage","10","#N/A","Standard Volume Based Adjustment","NaOH-25KG","One-Time","OneTime","USD"
"Percentage","USD","2025-05-01T19:00:00.000+0000","#N/A","10","#N/A","#N/A","Volume","OneTime","AdjustmentPercentage","10","#N/A","Standard Volume Based Adjustment","NH3-CYL","One-Time","OneTime","USD"
"Percentage","USD","2025-05-01T19:00:00.000+0000","#N/A","10","#N/A","#N/A","Volume","OneTime","AdjustmentPercentage","10","#N/A","Standard Volume Based Adjustment","PC-500-5KG","One-Time","OneTime","USD"
"Percentage","USD","2025-05-01T19:00:00.000+0000","#N/A","10","#N/A","#N/A","Volume","OneTime","AdjustmentPercentage","10","#N/A","Standard Volume Based Adjustment","PE-1000-25KG","One-Time","OneTime","USD"
"Percentage","USD","2024-01-01T20:00:00.000+0000","#N/A","10","#N/A","#N/A","Volume","OneTime","AdjustmentPercentage","10","#N/A","Standard Volume Based Adjustment","RHO-ENG-022","One-Time","OneTime","USD"
"Percentage","USD","2025-01-01T20:00:00.000+0000","#N/A","10","#N/A","#N/A","Volume","OneTime","AdjustmentPercentage","10","#N/A","Standard Volume Based Adjustment","TiO2-500-1000KG","One-Time","OneTime","USD"
"Percentage","USD","2025-05-01T19:00:00.000+0000","#N/A","10","#N/A","#N/A","Volume","OneTime","AdjustmentPercentage","10","#N/A","Standard Volume Based Adjustment","TiO2-500-25KG","One-Time","OneTime","USD"
"Percentage","USD","2025-05-01T19:00:00.000+0000","#N/A","10","#N/A","#N/A","Volume","OneTime","AdjustmentPercentage","10","#N/A","Standard Volume Based Adjustment","TOL-100-1000L","One-Time","OneTime","USD"
"Percentage","USD","2025-05-01T19:00:00.000+0000","#N/A","10","#N/A","#N/A","Volume","OneTime","AdjustmentPercentage","10","#N/A","Standard Volume Based Adjustment","TOL-100-200L","One-Time","OneTime","USD"
"Percentage","USD","2025-05-01T19:00:00.000+0000","#N/A","10","#N/A","#N/A","Volume","OneTime","AdjustmentPercentage","10","#N/A","Standard Volume Based Adjustment","UV-2000-25KG","One-Time","OneTime","USD"
"Percentage","USD","2025-05-01T19:00:00.000+0000","#N/A","10","#N/A","#N/A","Volume","OneTime","AdjustmentPercentage","10","#N/A","Standard Volume Based Adjustment","XYL-200-1000L","One-Time","OneTime","USD"
"Percentage","USD","2025-05-01T19:00:00.000+0000","#N/A","10","#N/A","#N/A","Volume","OneTime","AdjustmentPercentage","10","#N/A","Standard Volume Based Adjustment","XYL-200-200L","One-Time","OneTime","USD"
