$$Product.StockKeepingUnit$RateCardEntry.RateCard.Name$RateUnitOfMeasure.UnitCode$UsageResource.Code$LowerBound$UpperBound,AdjustmentType,AdjustmentValue,EffectiveFrom,EffectiveTo,LowerBound,Product.StockKeepingUnit,ProductSellingModel.Name,RateCardEntry.$$Product.StockKeepingUnit$RateCard.Name$UsageResource.Code$RateUnitOfMeasure.UnitCode,RateCardEntryStatus,RateUnitOfMeasure.Name,RateUnitOfMeasureName,UpperBound,UsageResource.Name
QB-CMT-TKN-EACH;Tier Rate Card;AUD;QB-TOKEN;0;,Percentage,0,2023-01-01T20:00:00.000+0000,,0,QB-CMT-TKN-EACH,Term Annual,QB-CMT-TKN-EACH;Tier Rate Card;QB-TOKEN;AUD,Active,AUD,AUD,,Quantum Tokens
QB-CMT-TKN-EACH;Tier Rate Card;CAD;QB-TOKEN;0;,Percentage,0,2023-01-01T20:00:00.000+0000,,0,QB-CMT-TKN-EACH,Term Annual,QB-CMT-TKN-EACH;Tier Rate Card;QB-TOKEN;CAD,Active,CAD,CAD,,Quantum Tokens
QB-CMT-TKN-EACH;Tier Rate Card;CHF;QB-TOKEN;0;,Percentage,0,2023-01-01T20:00:00.000+0000,,0,QB-CMT-TKN-EACH,Term Annual,QB-CMT-TKN-EACH;Tier Rate Card;QB-TOKEN;CHF,Active,CHF,CHF,,Quantum Tokens
QB-CMT-TKN-EACH;Tier Rate Card;EUR;QB-TOKEN;0;,Percentage,0,2023-01-01T20:00:00.000+0000,,0,QB-CMT-TKN-EACH,Term Annual,QB-CMT-TKN-EACH;Tier Rate Card;QB-TOKEN;EUR,Active,EUR,EUR,,Quantum Tokens
QB-CMT-TKN-EACH;Tier Rate Card;GBP;QB-TOKEN;0;,Percentage,0,2023-01-01T20:00:00.000+0000,,0,QB-CMT-TKN-EACH,Term Annual,QB-CMT-TKN-EACH;Tier Rate Card;QB-TOKEN;GBP,Active,GBP,GBP,,Quantum Tokens
QB-CMT-TKN-EACH;Tier Rate Card;JPY;QB-TOKEN;0;,Percentage,0,2023-01-01T20:00:00.000+0000,,0,QB-CMT-TKN-EACH,Term Annual,QB-CMT-TKN-EACH;Tier Rate Card;QB-TOKEN;JPY,Active,JPY,JPY,,Quantum Tokens
QB-CMT-TKN-EACH;Tier Rate Card;TOKEN-UOM;QB-TOKEN;0;,Percentage,6,2023-01-01T20:00:00.000+0000,,0,QB-CMT-TKN-EACH,Term Annual,QB-CMT-TKN-EACH;Tier Rate Card;QB-TOKEN;TOKEN-UOM,Active,Tokens,Tokens,,Quantum Tokens
QB-CMT-TKN-EACH;Tier Rate Card;TOKEN-UOM;UR-CPUTIME-TKN;0;,Percentage,5,2023-01-01T20:00:00.000+0000,,0,QB-CMT-TKN-EACH,Term Annual,QB-CMT-TKN-EACH;Tier Rate Card;UR-CPUTIME-TKN;TOKEN-UOM,Active,Tokens,Tokens,,Compute Time (Token)
QB-CMT-TKN-EACH;Tier Rate Card;TOKEN-UOM;UR-DATASTORAGE-TKN;0;,Percentage,4,2023-01-01T20:00:00.000+0000,,0,QB-CMT-TKN-EACH,Term Annual,QB-CMT-TKN-EACH;Tier Rate Card;UR-DATASTORAGE-TKN;TOKEN-UOM,Active,Tokens,Tokens,,Data Storage (Token)
QB-CMT-TKN-EACH;Tier Rate Card;USD;QB-TOKEN;0;,Percentage,0,2023-01-01T20:00:00.000+0000,,0,QB-CMT-TKN-EACH,Term Annual,QB-CMT-TKN-EACH;Tier Rate Card;QB-TOKEN;USD,Active,USD,USD,,Quantum Tokens
